round,institute,program,stream,quota,category,seat_type,Predicted_Opening_Rank,Predicted_Closing_Rank
Round 1,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,ARTIFICIAL INTELLIGENCE (AI),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,EWS,WBJEE Seats,11730,17025
Round 2,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,ARTIFICIAL INTELLIGENCE (AI),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,EWS,WBJEE Seats,26620,29014
Round 3,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,ARTIFICIAL INTELLIGENCE (AI),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,EWS,WBJEE Seats,35505,36223
Round 1,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,ARTIFICIAL INTELLIGENCE (AI),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - A,WBJEE Seats,11730,16034
Round 2,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,ARTIFICIAL INTELLIGENCE (AI),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - A,WBJEE Seats,19434,25496
Round 3,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,ARTIFICIAL INTELLIGENCE (AI),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - A,WBJEE Seats,24440,30524
Round 1,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,ARTIFICIAL INTELLIGENCE (AI),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - B,WBJEE Seats,10869,12010
Round 2,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,ARTIFICIAL INTELLIGENCE (AI),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - B,WBJEE Seats,13429,15506
Round 3,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,ARTIFICIAL INTELLIGENCE (AI),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - B,WBJEE Seats,12304,12897
Round 1,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,ARTIFICIAL INTELLIGENCE (AI),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open,WBJEE Seats,3533,10301
Round 2,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,ARTIFICIAL INTELLIGENCE (AI),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open,WBJEE Seats,10459,12735
Round 3,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,ARTIFICIAL INTELLIGENCE (AI),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open,WBJEE Seats,5861,11528
Round 1,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,ARTIFICIAL INTELLIGENCE (AI),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open (PwD),WBJEE Seats,56289,56289
Round 1,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,ARTIFICIAL INTELLIGENCE (AI),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,SC,WBJEE Seats,14721,19725
Round 2,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,ARTIFICIAL INTELLIGENCE (AI),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,SC,WBJEE Seats,21527,24788
Round 3,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,ARTIFICIAL INTELLIGENCE (AI),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,SC,WBJEE Seats,22627,25207
Round 1,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,ARTIFICIAL INTELLIGENCE (AI),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,ST,WBJEE Seats,48226,67252
Round 2,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,ARTIFICIAL INTELLIGENCE (AI),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,ST,WBJEE Seats,85325,88995
Round 1,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,ARTIFICIAL INTELLIGENCE (AI) -TFW,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Tuition Fee Waiver,WBJEE Seats,8686,8734
Round 2,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,ARTIFICIAL INTELLIGENCE (AI) -TFW,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Tuition Fee Waiver,WBJEE Seats,10410,10521
Round 3,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,ARTIFICIAL INTELLIGENCE (AI) -TFW,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Tuition Fee Waiver,WBJEE Seats,13041,13041
